master_site_id,dive_site_name,country_or_area,country_code,latitude,longitude,max_depth_m,source_count,sources,source_record_count,source_record_ids,source_urls,licenses_and_attribution,data_quality_notes
DS009828,Chole Reef North,Tanzania,TZ,-7.9561,39.7843,16,1,OpenDiveMap,1,OpenDiveMap:s37cfc,https://api.opendivemap.com/v1/sites/s37cfc,ODbL-1.0; © OpenDiveMap contributors,NA
DS009829,Chole Reef South,Tanzania,TZ,-7.9576,39.7828,14,1,OpenDiveMap,1,OpenDiveMap:ljdhqe,https://api.opendivemap.com/v1/sites/ljdhqe,ODbL-1.0; © OpenDiveMap contributors,NA
DS009830,Coral Garden,Tanzania,TZ,-5.984,39.3997,16,1,OpenDiveMap,1,OpenDiveMap:lxbp5b,https://api.opendivemap.com/v1/sites/lxbp5b,ODbL-1.0; © OpenDiveMap contributors,NA
DS009831,Coral Garden Reef,Tanzania,TZ,-5.8361,39.3899,17,1,OpenDiveMap,1,OpenDiveMap:05q39y,https://api.opendivemap.com/v1/sites/05q39y,ODbL-1.0; © OpenDiveMap contributors,NA
DS009832,Coral Gardens,Tanzania,TZ,-7.9473,39.7929,15,1,OpenDiveMap,1,OpenDiveMap:pc39s3,https://api.opendivemap.com/v1/sites/pc39s3,ODbL-1.0; © OpenDiveMap contributors,NA
DS009833,Coral Islands,Tanzania,TZ,-7.9451,39.7935,16,1,OpenDiveMap,1,OpenDiveMap:kno3ol,https://api.opendivemap.com/v1/sites/kno3ol,ODbL-1.0; © OpenDiveMap contributors,NA
DS009834,Corinne’s Reef,Tanzania,TZ,-7.9451,39.7962,16,1,OpenDiveMap,1,OpenDiveMap:dr6cvq,https://api.opendivemap.com/v1/sites/dr6cvq,ODbL-1.0; © OpenDiveMap contributors,NA
DS009835,Critters Alley,Tanzania,TZ,-7.9732,39.7501,10,2,OpenDiveMap | PADI Global Dive Sites,2,OpenDiveMap:rf0xf2 | PADI Global Dive Sites:11097,https://api.opendivemap.com/v1/sites/rf0xf2 | https://www.padi.com/dive-site/tanzania/critters-alley/,ODbL-1.0; © OpenDiveMap contributors | PADI terms; factual compilation for personal research,NA
DS009836,Cryptomania,Tanzania,TZ,-10.2622,40.1953,13,1,OpenDiveMap,1,OpenDiveMap:g5wt5j,https://api.opendivemap.com/v1/sites/g5wt5j,ODbL-1.0; © OpenDiveMap contributors,NA
DS009837,Danii's Reef,Tanzania,TZ,NA,NA,16,1,PADI Global Dive Sites,1,PADI Global Dive Sites:11098,https://www.padi.com/dive-site/tanzania/daniis-reef/,PADI terms; factual compilation for personal research,coordinates unavailable
DS009838,Dindini Wall,Tanzania,TZ,-7.9169,39.8282,23,1,OpenDiveMap,1,OpenDiveMap:8vdefc,https://api.opendivemap.com/v1/sites/8vdefc,ODbL-1.0; © OpenDiveMap contributors,NA
DS009839,Frogfish Town,Tanzania,TZ,NA,NA,12,1,PADI Global Dive Sites,1,PADI Global Dive Sites:11099,https://www.padi.com/dive-site/tanzania/frogfish-town/,PADI terms; factual compilation for personal research,coordinates unavailable
DS009840,Fungu Yasini Reef,Tanzania,TZ,-6.6040117,39.2344522,15,1,Dive Vibe Community (cleaned/curated),1,Dive Vibe Community (cleaned/curated):703808043,https://github.com/jbunderwater/dive-vibe-community/blob/main/data/osm_clean/tanzania.json,ODbL-1.0 / mixed third-party factual contributions,NA
DS009841,"Groupers Rocks, Mnemba Island",Tanzania,TZ,-5.8229,39.3802,19,1,OpenDiveMap,1,OpenDiveMap:ve5ash,https://api.opendivemap.com/v1/sites/ve5ash,ODbL-1.0; © OpenDiveMap contributors,NA
DS009842,Haji,Tanzania,TZ,-5.7357,39.3284,20,2,OpenDiveMap | PADI Global Dive Sites,2,OpenDiveMap:rf10xu | PADI Global Dive Sites:6457,https://api.opendivemap.com/v1/sites/rf10xu | https://www.padi.com/dive-site/tanzania/haji/,ODbL-1.0; © OpenDiveMap contributors | PADI terms; factual compilation for personal research,NA
DS009843,HauntedWall / Ras Misikitini,Tanzania,TZ,-5.8199,39.2125,17,1,OpenDiveMap,1,OpenDiveMap:fzn8az,https://api.opendivemap.com/v1/sites/fzn8az,ODbL-1.0; © OpenDiveMap contributors,NA
